DATA_INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MES,ANO
08/01/2017,14/01/2017,NORDESTE,MARANHAO,GLP,101,R$/13Kg,53.394,8.179,44.99,70,13.293,0.153,40.101,3.375,34.49,47.8,0.084,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,MATO GROSSO,GLP,134,R$/13Kg,77.504,6.583,60,90,21.54,0.085,55.964,12.226,36,79.2,0.218,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,MATO GROSSO DO SUL,GLP,163,R$/13Kg,64.044,4.843,50,70,17.846,0.076,46.198,3.698,33,60,0.08,1,2017
08/01/2017,14/01/2017,SUDESTE,MINAS GERAIS,GLP,618,R$/13Kg,58.982,5.66,42,75,18.045,0.096,40.937,6.068,30.79,56.6,0.148,1,2017
08/01/2017,14/01/2017,NORTE,PARA,GLP,194,R$/13Kg,60.796,7.696,45,78,16.309,0.127,44.487,4.968,36,54,0.112,1,2017
08/01/2017,14/01/2017,NORDESTE,PARAIBA,GLP,80,R$/13Kg,51.262,4.03,44,60,11.62,0.079,39.642,6.188,28.12,50,0.156,1,2017
08/01/2017,14/01/2017,SUL,PARANA,GLP,530,R$/13Kg,58.526,6.792,40,75,17.196,0.116,41.33,4.731,32.66,62,0.114,1,2017
08/01/2017,14/01/2017,NORDESTE,PERNAMBUCO,GLP,212,R$/13Kg,48.342,5.082,38,65,12.059,0.105,36.283,3.348,31,45,0.092,1,2017
08/01/2017,14/01/2017,NORDESTE,PIAUI,GLP,57,R$/13Kg,56.289,4.846,44.99,67,17.28,0.086,39.009,2.515,34.19,41.49,0.064,1,2017
08/01/2017,14/01/2017,SUDESTE,RIO DE JANEIRO,GLP,268,R$/13Kg,52.541,5.429,39.95,70,15.481,0.103,37.06,3.728,31,51.47,0.101,1,2017
08/01/2017,14/01/2017,NORDESTE,RIO GRANDE DO NORTE,GLP,64,R$/13Kg,56.202,2.903,50,60,20.488,0.052,35.714,2.517,29.52,42.9,0.07,1,2017
08/01/2017,14/01/2017,SUL,RIO GRANDE DO SUL,GLP,441,R$/13Kg,57.333,5.759,45,74,18.802,0.1,38.531,6.499,21.6745,60,0.169,1,2017
08/01/2017,14/01/2017,NORTE,RONDONIA,GLP,83,R$/13Kg,61.8,4.454,54,70,13.111,0.072,48.689,3.838,34.85,60,0.079,1,2017
